,random,X,CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,Event.Clearance.Date,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
8040,0.736236017,588019,994656,12000427033,2012427033,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,12/14/2012 20:28,20XX BLOCK OF AIRPORT WAY S,O,O2,9300.3009,-122.3213939,47.58506555,"(47.585065545, -122.32139394)",,,,
41278,0.317220684,391221,750403,12000073029,201273029,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,3/9/2012 22:30,3 AV / SPRING ST,K,K1,8100.2022,-122.3346737,47.60633473,"(47.606334728, -122.334673698)",,,,
30684,0.301981612,851149,2164487,17000472319,2017472319,64,SHOPLIFT,THEFT,SHOPLIFTING,12/24/2017 18:18,14XX BLOCK OF 5 AV,M,M3,8100.2011,-122.33512,47.61018,"(47.61018, -122.33512)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
39588,0.426168046,837063,2202164,18000051958,201851958,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2/11/2018 11:56,16XX BLOCK OF NE 50 ST,U,U1,4400.3007,-122.31024,47.66488,"(47.66488, -122.31024)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2/11/2018 9:26
16727,0.7142724,1363350,1087656,15000152185,2015152185,,,,,,1XX BLOCK OF OCCIDENTAL AV S,K,K2,9200.2023,-122.3328752,47.60130117,"(47.601301165, -122.332875206)",SICK PERSON,PERSON DOWN/INJURY,CASUALTIES,5/9/2015 14:18
15238,0.838201873,406357,766599,12000097991,201297991,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,4/1/2012 2:30,22XX BLOCK OF 1ST AVE,M,M1,8001.2008,-122.3552934,47.61853483,"(47.618534826, -122.355293423)",,,,
39332,0.363233916,1107945,2020825,17000211347,2017211347,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",6/12/2017 18:50,45XX BLOCK OF RAVENNA AV NE,U,U1,4302.2006,-122.303154,47.66352,"(47.66352, -122.303154)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,6/12/2017 15:53
45349,0.215105965,1092301,2000596,17000174515,2017174515,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,5/18/2017 10:16,N 90 ST / AURORA AV N,N,N3,1800.2003,-122.34457,47.694183,"(47.694183, -122.34457)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/18/2017 8:37
3340,0.038060275,995213,892121,12000297008,2012297008,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,9/4/2012 11:36,56XX BLOCK OF CALIFORNIA AVE SW,W,W2,10600.7003,-122.3870647,47.55120559,"(47.551205586, -122.387064695)",,,,9/4/2012 10:13
47641,0.303722178,564179,1691262,16000085442,201685442,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/10/2016 22:18,21 AV NE / NE 75 ST,U,U1,2500.1026,-122.30534,47.68305,"(47.68305, -122.30534)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
